{'id': 1, 'mmsi': 258416000, 'y': 60.403, 'x': 5.282, 'timestamp': '2023-11-13_08-24-47'}
{'id': 1, 'mmsi': 258416000, 'y': 60.404, 'x': 5.265, 'timestamp': '2023-11-13_08-55-16'}
{'id': 1, 'mmsi': 258108500, 'y': 60.402, 'x': 5.271, 'timestamp': '2023-11-13_08-55-27'}
{'id': 3, 'mmsi': 258416000, 'y': 60.403, 'x': 5.297, 'timestamp': '2023-11-13_09-21-42'}
{'id': 1, 'mmsi': 258416000, 'y': 60.404, 'x': 5.27, 'timestamp': '2023-11-13_09-23-44'}
{'id': 1, 'mmsi': 257736000, 'y': 60.404, 'x': 5.309, 'timestamp': '2023-11-13_09-28-21'}
{'id': 3, 'mmsi': 257736000, 'y': 60.403, 'x': 5.306, 'timestamp': '2023-11-13_09-30-23'}
{'id': 1, 'mmsi': 258416000, 'y': 60.403, 'x': 5.283, 'timestamp': '2023-11-13_09-35-48'}
{'id': 1, 'mmsi': 258738000, 'y': 60.405, 'x': 5.307, 'timestamp': '2023-11-13_09-38-02'}
{'id': 1, 'mmsi': 258738000, 'y': 60.407, 'x': 5.303, 'timestamp': '2023-11-13_09-40-10'}
{'id': 1, 'mmsi': 257706000, 'y': 60.401, 'x': 5.274, 'timestamp': '2023-11-13_09-45-31'}
{'id': 1, 'mmsi': 257706000, 'y': 60.402, 'x': 5.265, 'timestamp': '2023-11-13_09-47-28'}
{'id': 3, 'mmsi': 258242000, 'y': 60.403, 'x': 5.292, 'timestamp': '2023-11-13_09-52-35'}
{'id': 1, 'mmsi': 304619000, 'y': 60.398, 'x': 5.273, 'timestamp': '2023-11-13_10-00-27'}
{'id': 1, 'mmsi': 258242000, 'y': 60.403, 'x': 5.27, 'timestamp': '2023-11-13_10-04-35'}
{'id': 1, 'mmsi': 258242000, 'y': 60.402, 'x': 5.298, 'timestamp': '2023-11-13_10-06-39'}
{'id': 3, 'mmsi': 257301500, 'y': 60.415, 'x': 5.271, 'timestamp': '2023-11-22_10-17-32'}
{'id': 3, 'mmsi': 257301500, 'y': 60.413, 'x': 5.276, 'timestamp': '2023-11-22_10-19-39'}
{'id': 1, 'mmsi': 258242000, 'y': 60.403, 'x': 5.285, 'timestamp': '2023-11-22_10-21-31'}
{'id': 1, 'mmsi': 257301500, 'y': 60.41, 'x': 5.283, 'timestamp': '2023-11-22_10-21-47'}
{'id': 1, 'mmsi': 257301500, 'y': 60.408, 'x': 5.289, 'timestamp': '2023-11-22_10-23-55'}
{'id': 3, 'mmsi': 259524000, 'y': 60.409, 'x': 5.295, 'timestamp': '2023-11-22_10-25-36'}
{'id': 1, 'mmsi': 257301500, 'y': 60.406, 'x': 5.296, 'timestamp': '2023-11-22_10-26-02'}
{'id': 1, 'mmsi': 257301500, 'y': 60.403, 'x': 5.302, 'timestamp': '2023-11-22_10-28-15'}
{'id': 1, 'mmsi': 257706000, 'y': 60.404, 'x': 5.276, 'timestamp': '2023-11-22_10-46-37'}
{'id': 1, 'mmsi': 257847000, 'y': 60.405, 'x': 5.278, 'timestamp': '2023-11-22_10-46-53'}
{'id': 3, 'mmsi': 257706000, 'y': 60.404, 'x': 5.266, 'timestamp': '2023-11-22_10-48-33'}
{'id': 1, 'mmsi': 257847000, 'y': 60.405, 'x': 5.272, 'timestamp': '2023-11-22_10-48-55'}
